# Generated by tools/extract-microchip-atdf-routes.ps1
# device=ATSAMD51P19A
# source=Microchip.SAMD51_DFP.3.9.276/samd51a/atdf/ATSAMD51P19A.atdf
# source_url=https://packs.download.microchip.com/Microchip.SAMD51_DFP.3.9.276.atpack
# license=Apache-2.0 (Microchip device pack)
"package","pinout","position","pad","peripheral","signal","index","function","ioset"
"TFBGA120","SAMD51PC","A1","PA00","EIC","EXTINT","0","A",""
"TFBGA120","SAMD51PC","A1","PA00","OSC32KCTRL","XIN32","","XIN32",""
"TFBGA120","SAMD51PC","A1","PA00","PORT","P","0","default",""
"TFBGA120","SAMD51PC","A1","PA00","SERCOM1","PAD","0","D","4"
"TFBGA120","SAMD51PC","A1","PA00","TC2","WO","0","E","1"
"TFBGA120","SAMD51PC","B1","PA01","EIC","EXTINT","1","A",""
"TFBGA120","SAMD51PC","B1","PA01","OSC32KCTRL","XOUT32","","XOUT32",""
"TFBGA120","SAMD51PC","B1","PA01","PORT","P","1","default",""
"TFBGA120","SAMD51PC","B1","PA01","SERCOM1","PAD","1","D","4"
"TFBGA120","SAMD51PC","B1","PA01","TC2","WO","1","E","1"
"TFBGA120","SAMD51PC","E1","PA02","ADC0","AIN","0","B",""
"TFBGA120","SAMD51PC","E1","PA02","DAC","VOUT","0","B",""
"TFBGA120","SAMD51PC","E1","PA02","EIC","EXTINT","2","A",""
"TFBGA120","SAMD51PC","E1","PA02","PORT","P","2","default",""
"TFBGA120","SAMD51PC","E1","PA02","RTC","IN","2","RTC",""
"TFBGA120","SAMD51PC","F2","PA03","ADC0","AIN","1","B",""
"TFBGA120","SAMD51PC","F2","PA03","ADC0","VREFA","","B",""
"TFBGA120","SAMD51PC","F2","PA03","ADC0","X","0","B",""
"TFBGA120","SAMD51PC","F2","PA03","ADC0","Y","0","B",""
"TFBGA120","SAMD51PC","F2","PA03","EIC","EXTINT","3","A",""
"TFBGA120","SAMD51PC","F2","PA03","PORT","P","3","default",""
"TFBGA120","SAMD51PC","K2","PA04","AC","AIN","0","B",""
"TFBGA120","SAMD51PC","K2","PA04","ADC0","AIN","4","B",""
"TFBGA120","SAMD51PC","K2","PA04","ADC0","VREFB","","B",""
"TFBGA120","SAMD51PC","K2","PA04","ADC0","X","3","B",""
"TFBGA120","SAMD51PC","K2","PA04","ADC0","Y","3","B",""
"TFBGA120","SAMD51PC","K2","PA04","CCL","IN","0","N",""
"TFBGA120","SAMD51PC","K2","PA04","EIC","EXTINT","4","A",""
"TFBGA120","SAMD51PC","K2","PA04","PORT","P","4","default",""
"TFBGA120","SAMD51PC","K2","PA04","SERCOM0","PAD","0","D","3"
"TFBGA120","SAMD51PC","K2","PA04","TC0","WO","0","E","1"
"TFBGA120","SAMD51PC","L1","PA05","AC","AIN","1","B",""
"TFBGA120","SAMD51PC","L1","PA05","ADC0","AIN","5","B",""
"TFBGA120","SAMD51PC","L1","PA05","CCL","IN","1","N",""
"TFBGA120","SAMD51PC","L1","PA05","DAC","VOUT","1","B",""
"TFBGA120","SAMD51PC","L1","PA05","EIC","EXTINT","5","A",""
"TFBGA120","SAMD51PC","L1","PA05","PORT","P","5","default",""
"TFBGA120","SAMD51PC","L1","PA05","SERCOM0","PAD","1","D","3"
"TFBGA120","SAMD51PC","L1","PA05","TC0","WO","1","E","1"
"TFBGA120","SAMD51PC","L2","PA06","AC","AIN","2","B",""
"TFBGA120","SAMD51PC","L2","PA06","ADC0","AIN","6","B",""
"TFBGA120","SAMD51PC","L2","PA06","ADC0","VREFC","","B",""
