# Generated as a starter package route catalog for the STM32H563ZI LQFP144 package.
# device=STM32H563ZI
# package=LQFP144
# source=STMicroelectronics STM32H563ZI datasheet and NUCLEO-H563ZI board reference
# note=This is a hand-authored catalog of the package pad names and their default GPIO routing; it can be expanded with full alternate-function data later.
"package","pinout","position","pad","peripheral","signal","index","function","ioset"
"LQFP144","STM32H563ZI","1","PA0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","2","PA1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","3","PA2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","4","PA3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","5","PA4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","6","PA5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","7","PA6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","8","PA7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","9","PA8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","10","PA9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","11","PA10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","12","PA11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","13","PA12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","14","PA13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","15","PA14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","16","PA15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","17","PB0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","18","PB1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","19","PB2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","20","PB3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","21","PB4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","22","PB5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","23","PB6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","24","PB7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","25","PB8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","26","PB9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","27","PB10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","28","PB11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","29","PB12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","30","PB13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","31","PB14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","32","PB15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","33","PC0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","34","PC1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","35","PC2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","36","PC3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","37","PC4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","38","PC5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","39","PC6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","40","PC7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","41","PC8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","42","PC9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","43","PC10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","44","PC11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","45","PC12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","46","PC13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","47","PC14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","48","PC15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","49","PD0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","50","PD1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","51","PD2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","52","PD3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","53","PD4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","54","PD5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","55","PD6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","56","PD7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","57","PD8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","58","PD9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","59","PD10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","60","PD11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","61","PD12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","62","PD13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","63","PD14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","64","PD15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","65","PE0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","66","PE1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","67","PE2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","68","PE3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","69","PE4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","70","PE5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","71","PE6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","72","PE7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","73","PE8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","74","PE9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","75","PE10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","76","PE11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","77","PE12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","78","PE13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","79","PE14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","80","PE15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","81","PF0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","82","PF1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","83","PF2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","84","PF3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","85","PF4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","86","PF5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","87","PF6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","88","PF7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","89","PF8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","90","PF9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","91","PF10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","92","PF11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","93","PF12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","94","PF13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","95","PF14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","96","PF15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","97","PG0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","98","PG1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","99","PG2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","100","PG3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","101","PG4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","102","PG5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","103","PG6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","104","PG7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","105","PG8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","106","PG9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","107","PG10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","108","PG11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","109","PG12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","110","PG13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","111","PG14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","112","PG15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","113","PH0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","114","PH1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","115","PH2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","116","PH3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","117","PH4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","118","PH5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","119","PH6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","120","PH7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","121","PH8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","122","PH9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","123","PH10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","124","PH11","GPIO","P","11","A",""
"LQFP144","STM32H563ZI","125","PH12","GPIO","P","12","A",""
"LQFP144","STM32H563ZI","126","PH13","GPIO","P","13","A",""
"LQFP144","STM32H563ZI","127","PH14","GPIO","P","14","A",""
"LQFP144","STM32H563ZI","128","PH15","GPIO","P","15","A",""
"LQFP144","STM32H563ZI","129","PI0","GPIO","P","0","A",""
"LQFP144","STM32H563ZI","130","PI1","GPIO","P","1","A",""
"LQFP144","STM32H563ZI","131","PI2","GPIO","P","2","A",""
"LQFP144","STM32H563ZI","132","PI3","GPIO","P","3","A",""
"LQFP144","STM32H563ZI","133","PI4","GPIO","P","4","A",""
"LQFP144","STM32H563ZI","134","PI5","GPIO","P","5","A",""
"LQFP144","STM32H563ZI","135","PI6","GPIO","P","6","A",""
"LQFP144","STM32H563ZI","136","PI7","GPIO","P","7","A",""
"LQFP144","STM32H563ZI","137","PI8","GPIO","P","8","A",""
"LQFP144","STM32H563ZI","138","PI9","GPIO","P","9","A",""
"LQFP144","STM32H563ZI","139","PI10","GPIO","P","10","A",""
"LQFP144","STM32H563ZI","140","PI11","GPIO","P","11","A",""
